true_hyp,study_iteration,numerator,denominator,BF,N
nonosp=nonvis=visosp,1,nonosp=nonvis=visosp,Hc,26.302345768218196,250
nonosp=nonvis=visosp,1,nonosp<nonvis<visosp,Hc,1.0283749657830297,250
nonosp=nonvis=visosp,1,nonosp<nonvis=visosp,Hc,2.441310755310785,250
nonosp=nonvis=visosp,1,nonosp<nonvis<visosp,nonosp=nonvis=visosp,0.03888488758929835,250
nonosp=nonvis=visosp,1,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.09281722538453906,250
nonosp=nonvis=visosp,1,nonosp=nonvis=visosp,nonosp<nonvis<visosp,25.716931743817447,250
nonosp=nonvis=visosp,1,nonosp<nonvis=visosp,nonosp<nonvis<visosp,2.386974249864711,250
nonosp=nonvis=visosp,1,nonosp=nonvis=visosp,nonosp<nonvis=visosp,10.773862242240373,250
nonosp=nonvis=visosp,1,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.41894042219210287,250
nonosp<nonvis<visosp,1,nonosp=nonvis=visosp,Hc,8.265399134908722e-9,250
nonosp<nonvis<visosp,1,nonosp<nonvis<visosp,Hc,144.83390299791134,250
nonosp<nonvis<visosp,1,nonosp<nonvis=visosp,Hc,3.1605402846923085,250
nonosp<nonvis<visosp,1,nonosp<nonvis<visosp,nonosp=nonvis=visosp,649635423.321344,250
nonosp<nonvis<visosp,1,nonosp<nonvis=visosp,nonosp=nonvis=visosp,382382052.3492736,250
nonosp<nonvis<visosp,1,nonosp=nonvis=visosp,nonosp<nonvis<visosp,1.5393249261060498e-9,250
nonosp<nonvis<visosp,1,nonosp<nonvis=visosp,nonosp<nonvis<visosp,0.5886102244768253,250
nonosp<nonvis<visosp,1,nonosp=nonvis=visosp,nonosp<nonvis=visosp,2.6151855032322092e-9,250
nonosp<nonvis<visosp,1,nonosp<nonvis<visosp,nonosp<nonvis=visosp,1.6989171414560977,250
nonosp<nonvis=visosp,1,nonosp=nonvis=visosp,Hc,0.05906240794879046,250
nonosp<nonvis=visosp,1,nonosp<nonvis<visosp,Hc,52.07669333075878,250
nonosp<nonvis=visosp,1,nonosp<nonvis=visosp,Hc,6.565096124785368,250
nonosp<nonvis=visosp,1,nonosp<nonvis<visosp,nonosp=nonvis=visosp,86.9808878738341,250
nonosp<nonvis=visosp,1,nonosp<nonvis=visosp,nonosp=nonvis=visosp,111.15523990280886,250
nonosp<nonvis=visosp,1,nonosp=nonvis=visosp,nonosp<nonvis<visosp,0.011496778481388937,250
nonosp<nonvis=visosp,1,nonosp<nonvis=visosp,nonosp<nonvis<visosp,1.277927170208238,250
nonosp<nonvis=visosp,1,nonosp=nonvis=visosp,nonosp<nonvis=visosp,0.008996426986927231,250
nonosp<nonvis=visosp,1,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.7825172070150527,250
"nonosp,nonvis,visosp",1,nonosp=nonvis=visosp,Hc,2.3653790103519464e-8,250
"nonosp,nonvis,visosp",1,nonosp<nonvis<visosp,Hc,6.067786951318021e-12,250
"nonosp,nonvis,visosp",1,nonosp<nonvis=visosp,Hc,3.55243428179227e-10,250
"nonosp,nonvis,visosp",1,nonosp<nonvis<visosp,nonosp=nonvis=visosp,3.125541379095134e-4,250
"nonosp,nonvis,visosp",1,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.01501845694176385,250
"nonosp,nonvis,visosp",1,nonosp=nonvis=visosp,nonosp<nonvis<visosp,3199.4457238301125,250
