"";"Var1";"Freq"
"1280";"meta-analysis";71
"943";"higher education";58
"681";"educational policy";37
"29";"achievement";32
"2198";"systematic review";28
"1726";"race";26
"865";"gender";24
"550";"descriptive analysis";22
"1591";"policy analysis";21
"10";"academic achievement";20
"1790";"regression analyses";20
"1360";"motivation";19
"756";"equity";18
"1472";"online learning";15
"1876";"school";14
"269";"class inequality";12
"1215";"longitudinal studies";12
"1248";"mathematics education";12
"1676";"program evaluation";12
"1826";"research utilization";12
"1967";"self-regulated learning";12
"2115";"stem";12
"2225";"teacher effectiveness";12
"31";"achievement gap";11
"117";"assessment";11
"200";"blended learning";11
"769";"evaluation";11
"1317";"mixed methods";11
"1615";"postsecondary education";11
"26";"accountability";10
"50";"adolescence";10
"634";"early childhood";10
"657";"education policy";10
"689";"effect size";10
"949";"historical analysis";10
"1024";"inequality";10
"1156";"learning";10
"1158";"learning analytics";10
"1164";"learning environments";10
"1589";"policy";10
"1667";"professional development";10
"1710";"qualitative research";10
"1763";"reading";10
"1837";"retention";10
"1884";"school choice";10
"1895";"school effects";10
"2304";"tracking";10
"126";"at-risk students";9
"560";"development";9
"682";"educational reform";9
"732";"engagement";9
"784";"experimental design";9
"786";"experimental research";9
"1764";"reading comprehension";9
"1818";"research methodology";9
"2131";"structural equation modeling";9
"2221";"teacher education";9
"327";"collaborative learning";8
"514";"curriculum";8
"706";"elementary school";8
"968";"identity";8
"1416";"network meta-analysis";8
"1619";"poverty";8
"1707";"qualitative";8
"2050";"social presence";8
"2349";"urban education";8
"2355";"validity";8
"322";"coleman report";7
"353";"community colleges";7
"495";"cultural capital";7
"601";"disparities";7
"645";"econometric analysis";7
"653";"education";7
"767";"ethnicity";7
"940";"high schools";7
"1301";"middle school";7
"1717";"quantitative research on education";7
"1892";"school discipline";7
"1927";"science education";7
"1987";"ses";7
"2021";"social capital";7
"2043";"social media";7
"2046";"social network analysis";7
"2176";"summer learning";7
"2185";"survey research";7
"2246";"teacher research";7
"250";"charter schools";6
"441";"correlational analysis";6
"597";"discourse analysis";6
"614";"diversity";6
"768";"ethnography";6
"773";"evidence synthesis";6
"899";"graduate education";6
"1103";"interventions";6
"1148";"leadership";6
"1196";"literacy";6
"1243";"mathematics";6
"1392";"multisite studies";6
"1659";"problem solving";6
"1711";"qualitative research on education";6
"1719";"quasi-experimental analysis";6
"1960";"self-efficacy";6
"2022";"social class";6
"2134";"student achievement";6
"2351";"urban schooling";6
"263";"civic engagement";5
"399";"conceptual learning";5
"552";"design practice";5
"658";"education reform";5
"665";"educational attainment";5
"863";"gay";5
"932";"hierarchical linear modeling";5
"1028";"informal learning";5
"1054";"instructional design";5
"1058";"instructional practices";5
"1099";"intersectionality";5
"1216";"longitudinal studies of education";5
"1296";"methodology";5
"1566";"persistence";5
"1584";"pisa";5
"1700";"publication bias";5
"1801";"reliability";5
"1953";"segregation";5
"2040";"social justice";5
"2184";"survey";5
"2212";"teacher assessment";5
"2331";"undergraduate";5
"20";"academic self-concept";4
"55";"adolescents";4
"108";"argumentation";4
"133";"attrition";4
"255";"childhood";4
"314";"cognitive presence";4
"355";"community of inquiry";4
"473";"critical race theory";4
"508";"culture";4
