"";"Publication Type";"Authors";"Book Authors";"Book Editors";"Book Group Authors";"Author Full Names";"Book Author Full Names";"Group Authors";"Article Title";"Source Title";"Book Series Title";"Book Series Subtitle";"Language";"Document Type";"Conference Title";"Conference Date";"Conference Location";"Conference Sponsor";"Conference Host";"Author Keywords";"Keywords Plus";"Abstract";"Addresses";"Reprint Addresses";"Email Addresses";"Researcher Ids";"ORCIDs";"Funding Orgs";"Funding Text";"Cited References";"Cited Reference Count";"Times Cited, WoS Core";"Times Cited, All Databases";"180 Day Usage Count";"Since 2013 Usage Count";"Publisher";"Publisher City";"Publisher Address";"ISSN";"eISSN";"ISBN";"Journal Abbreviation";"Journal ISO Abbreviation";"Publication Date";"Publication Year";"Volume";"Issue";"Part Number";"Supplement";"Special Issue";"Meeting Abstract";"Start Page";"End Page";"Article Number";"DOI";"Book DOI";"Early Access Date";"Number of Pages";"WoS Categories";"Research Areas";"IDS Number";"UT (Unique WOS ID)";"Pubmed Id";"Open Access Designations";"Highly Cited Status";"Hot Paper Status";"Date of Export";"...68";"journal"
"1";"J";"Wu, Y; Schunn, CD";NA;NA;NA;"Wu, Yong; Schunn, Christian D.";NA;NA;"The Effects of Providing and Receiving Peer Feedback on Writing Performance and Learning of Secondary School Students";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article; Early Access";NA;NA;NA;NA;NA;"feedback implementation; learning; peer feedback; peer review; revisions";"FORMATIVE ASSESSMENT; REVISION; METAANALYSIS; INSTRUCTION; PERCEPTIONS; ACQUISITION; LEVEL";"Research has shown that engaging students in peer feedback can help students revise documents and improve their writing skills. But the mechanistic pathways by which skills develop have remained untested: Does receiving and providing feedback lead to learning because it produces more extensive revision behavior or is such immediate implementation of feedback unnecessary? These pathways were tested through analyses of the relationships between feedback provided and received, feedback implemented and overall revisions, and improved writing quality in a new article. Overall, the number of revisions predicted growth in writing ability, and both amount of received and provided feedback were associated with being more likely to make revisions. However, providing feedback was also directly related to growth in writing ability.";"[Wu, Yong] Univ Pittsburgh, Learning & Res Dev Ctr, 3939 OHara St, Pittsburgh, PA 15260 USA; [Schunn, Christian D.] Univ Pittsburgh, Psychol, Pittsburgh, PA USA; [Schunn, Christian D.] Univ Pittsburgh, Learning Res & Dev Ctr, Pittsburgh, PA USA";"Wu, Y (corresponding author), Univ Pittsburgh, Learning & Res Dev Ctr, 3939 OHara St, Pittsburgh, PA 15260 USA.";"yongwu@pitt.edu";NA;NA;"Institute of Education SciencesUS Department of Education [R305A120370]";"The second author is a co-inventor of the peer review system used in the study. The current project was partially funded by grant R305A120370 from the Institute of Education Sciences.";NA;71;0;0;4;4;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2831220945266";"10.3102/0002831220945266";NA;"JUL 2020";35;"Education & Educational Research";"Education & Educational Research";"MR5IP";"WOS:000553621400001";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"2";"J";"Stein, ML; Grigg, JA";NA;NA;NA;"Stein, Marc L.; Grigg, Jeffrey A.";NA;NA;"Missing Bus, Missing School: Establishing the Relationship Between Public Transit Use and Student Absenteeism";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"absenteeism; education policy; public transportation; spatial analysis; student commuting; urban education";"IDENTIFICATION; DISADVANTAGE; ACHIEVEMENT; VARIABILITY; ELEMENTARY; ATTENDANCE; STRESS; CHOICE; TRAVEL";"Transportation is one of many potential obstacles that students might face as they attempt to attend school, but there are few opportunities to identify the unique contribution of transportation to school attendance. We apply models of commuting stress developed for adult commuters to students in an open enrollment school district to examine whether commuting difficulty plays a part in school absence. By comparing residentially stable students with themselves as they transition from eighth to ninth grade, we identify how changes in estimated school transportation are related to changes in attendance. We find that all students miss more days in high school than they did in middle school and that changing transit demands are associated with an increase in absences.";"[Stein, Marc L.; Grigg, Jeffrey A.] Johns Hopkins Univ, Sch Educ, 2800 North Charles St, Baltimore, MD 21218 USA";"Stein, ML (corresponding author), Johns Hopkins Univ, Sch Educ, 2800 North Charles St, Baltimore, MD 21218 USA.";"m.stein@jhu.edu";NA;NA;"Aaron and Lillie Straus Foundation; Annie E. Casey Foundation; Clayton Baker Trust; Open Society Institute, Baltimore";"The study was completed through the generous support of The Aaron and Lillie Straus Foundation, The Annie E. Casey Foundation, Clayton Baker Trust, and Open Society Institute, Baltimore.";NA;66;1;1;0;7;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"OCT";2019;56;5;NA;NA;NA;NA;"1834";"1860";NA;"10.3102/0002831219833917";NA;NA;27;"Education & Educational Research";"Education & Educational Research";"IW9DJ";"WOS:000485293300008";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"3";"J";"Wallace, TL; Kelcey, B; Ruzek, E";NA;NA;NA;"Wallace, Tanner LeBaron; Kelcey, Benjamin; Ruzek, Erik";NA;NA;"What Can Student Perception Surveys Tell Us About Teaching? Empirically Testing the Underlying Structure of the Tripod Student Perception Survey";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"multilevel confirmatory factor analysis; student perceptions; teacher evaluation";"PSYCHOLOGICAL SAFETY; CLASSROOM MANAGEMENT; SCHOOL; ADOLESCENTS; ACHIEVEMENT; ENGAGEMENT; MOTIVATION; TEACHERS; INFORMATION; AUTONOMY";"We conducted a theory-based analysis of the underlying structure of the Tripod student perception survey instrument using the Measures of Effective Teaching (MET) database (N = 1,049 middle school math class sections; N = 25,423 students). Multilevel item factor analyses suggested that an alternative bifactor structure best fit the Tripod items, and preliminary evidence suggests that both the general responsivity and the classroom management-specific dimensions are positively associated with teacher value-added scores. In our discussion, we consider the distinct characterizing features of adolescents as raters of teaching, the implications for teacher professional learning opportunities, and key areas for future research.";"[Wallace, Tanner LeBaron] Univ Pittsburgh, Appl Dev Psychol, 230 S Bouquet St,WWPH 5948, Pittsburgh, PA 15260 USA; [Wallace, Tanner LeBaron] Univ Pittsburgh, Motivat Ctr, 230 S Bouquet St,WWPH 5948, Pittsburgh, PA 15260 USA; [Kelcey, Benjamin] Univ Cincinnati, Quantitat Res Methodol Program, Cincinnati, OH 45221 USA; [Ruzek, Erik] Univ Virginia, Ctr Adv Study Teaching & Learning, Charlottesville, VA 22903 USA";"Wallace, TL (corresponding author), Univ Pittsburgh, Appl Dev Psychol, 230 S Bouquet St,WWPH 5948, Pittsburgh, PA 15260 USA.; Wallace, TL (corresponding author), Univ Pittsburgh, Motivat Ctr, 230 S Bouquet St,WWPH 5948, Pittsburgh, PA 15260 USA.";"twallace@pitt.edu";NA;"Ruzek, Erik/0000-0002-0931-1951";NA;NA;NA;77;37;37;1;13;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"DEC";2016;53;6;NA;NA;NA;NA;"1834";"1868";NA;"10.3102/0002831216671864";NA;NA;35;"Education & Educational Research";"Education & Educational Research";"EH5EC";"WOS:000391794400011";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"4";"J";"Rubin, BC";NA;NA;NA;"Rubin, Beth C.";NA;NA;"We Come to Form Ourselves Bit by Bit: Educating for Citizenship in Post-Conflict Guatemala";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"democratic citizenship education; historical memory; post-conflict education; Indigenous education; postcolonial education";"CIVIC IDENTITY; HISTORY; GLOBALIZATION";"Over the past several decades, the implementation of democratic citizenship education has become a common prescription for the civic reconstruction of post-conflict societies. Across the globe, educational changes are seen as fundamental to the creation of peaceful, tolerant, and democratic civic identities, the key to social reconstruction, a better future, and a lasting peace. Drawing on qualitative data from varied schools in postwar Guatemala, this article illustrates a critical dilemma in post-conflict civic education: the difficulties of engaging directly with past and present injustice while moving toward a shared national identity. Global models of democratic, multicultural, and human rights education alone are inadequate for creating a new sense of citizenship in a country in which young people's sense of belonging and their interpretations of the past are deeply connected to how their communities are positioned within a profoundly inequitable power structure.";"[Rubin, Beth C.] Rutgers State Univ, Grad Sch Educ, Educ, 10 Seminary Pl, New Brunswick, NJ 08901 USA";"Rubin, BC (corresponding author), Rutgers State Univ, Grad Sch Educ, Educ, 10 Seminary Pl, New Brunswick, NJ 08901 USA.";"beth.rubin@gse.rutgers.edu";NA;NA;NA;NA;NA;76;8;10;1;8;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"JUN";2016;53;3;NA;NA;NA;NA;"639";"672";NA;"10.3102/0002831216646871";NA;NA;34;"Education & Educational Research";"Education & Educational Research";"DO3IM";"WOS:000377674900008";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"5";"J";"Kumar, R; Lauermann, F";NA;NA;NA;"Kumar, Revathy; Lauermann, Fani";NA;NA;"Cultural Beliefs and Instructional Intentions: Do Experiences in Teacher Education Institutions Matter?";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"cultural diversity; motivation; preservice teachers; stereotype beliefs; teacher education";"PERFORMANCE-AVOIDANCE GOALS; ACHIEVEMENT GOALS; SUSTAINING PEDAGOGY; PRESERVICE TEACHERS; STUDENT MOTIVATION; PREPARING TEACHERS; RELEVANT PEDAGOGY; MEDIATING ROLE; SELF; DIVERSITY";"This cross-sectional study examines associations between preservice teachers' experiences in teacher education (n = 2,129), their beliefs about culturally diverse students, and their endorsed instructional practices within social reconstructionist and achievement goal theory frameworks. Structural equation modeling confirmed significant associations between experiences in teacher education and discomfort with student diversity, endorsement of mastery- and performance-oriented practices, and reluctance to adjust instruction to culturally diverse student needs. The number of multicultural education courses completed negatively predicted preservice teachers' stereotype beliefs and positively predicted mastery orientation. Reluctance to accommodate to culturally diverse students' educational needs mediated relations between stereotype beliefs and discomfort with student diversity with mastery- and performance-oriented practices. This demonstrates that general stereotype beliefs can inform proximal cultural intentions and instructional practices.";"[Kumar, Revathy] Univ Toledo, Educ Psychol, 2801 W Bancroft St,MS 921, Toledo, OH 43606 USA; [Lauermann, Fani] Univ Bonn, Psychol & Educ, Bonn, Germany";"Kumar, R (corresponding author), Univ Toledo, Educ Psychol, 2801 W Bancroft St,MS 921, Toledo, OH 43606 USA.";"Revathy.kumar@utoledo.edu";NA;NA;NA;NA;NA;118;5;5;0;15;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"JUN";2018;55;3;NA;NA;NA;NA;"419";"452";NA;"10.3102/0002831217738508";NA;NA;34;"Education & Educational Research";"Education & Educational Research";"GG7ID";"WOS:000432870800001";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"6";"J";"Glazer, JL; Egan, C";NA;NA;NA;"Glazer, Joshua L.; Egan, Cori";NA;NA;"The Ties That Bind: Building Civic Capacity for the Tennessee Achievement School District";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"at-risk students; educational policy; educational reform; historical analysis; in-depth interviewing; observational research; policy analysis; politics; qualitative research; race; urban education";"URBAN-EDUCATION; NEW-ORLEANS; POLITICS; MEMPHIS; RACE; ERA";"The Tennessee Achievement School District (ASD) is among several state-run districts established to turn around underperforming schools. Like other such districts, the ASD removes schools from local control and is not accountable to local political institutions. Despite its authority, the ASD has encountered opposition within Memphis where its schools reside. For those inclined to its market orientation and suspicious of traditional districts, the ASD is an innovative effort to improve outcomes for disadvantaged students. For those that see educational failure in Memphis as the result of social and economic isolation, the ASD appears motivated by profit, paternalism, and racism. A third narrative, largely hidden from view, encompasses people who reject state takeover but seek to confront structural causes of poor performance.";"[Glazer, Joshua L.] George Washington Univ, Educ Policy, 2134 G St, Washington, DC 20052 USA; [Egan, Cori] George Washington Univ, Washington, DC USA";"Glazer, JL (corresponding author), George Washington Univ, Educ Policy, 2134 G St, Washington, DC 20052 USA.";"jglazer@gwu.edu";NA;NA;"Walton Family Foundation; Spencer Foundation";"Funding for this research was provided by the Walton Family Foundation and the Spencer Foundation. The authors express sincere thanks to Blair Beuche, David Cohen, Penina Glazer, Laura Groth, Jeffrey Henig, Nancy Kober, Adam Lefstein, Matthew Malone, Diane Massell, Erin O'Hara, Nate Schwartz, Clarence Stone, and four anonymous reviewers.";NA;53;12;10;0;2;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"OCT";2018;55;5;NA;NA;NA;NA;"928";"964";NA;"10.3102/0002831218763088";NA;NA;37;"Education & Educational Research";"Education & Educational Research";"GU4AM";"WOS:000445222600002";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"7";"J";"Nuamah, SA";NA;NA;NA;"Nuamah, Sally A.";NA;NA;"Achievement Oriented: Developing Positive Academic Identities for Girl Students at an Urban School";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"educational achievement; school context; gender; noncognitive skills";"PARTICIPATION; EDUCATION; GENDER; IMPACT; STRATIFICATION; PERSONALITY; PERFORMANCE; SUCCESS; CULTURE; MIDDLE";"The link between noncognitive skills and achievement is well established. There is much less evidence on how these skills are developed and transmitted to students, especially as it relates to girls that attend nonelite schools in non-Western settings. Drawing on insights from girl students attending an urban school in Ghana, this paper illustrates the role of school contexts in facilitating the development of noncognitive skills, namely, achievement-oriented identities-positive beliefs in one's own ability and the translation of those beliefs into realizable actions. These identities act as useful tools for navigating the gender-specific challenges that impede girls' abilities to achieve. These findings have implications for research on gender, noncognitive skills, and educational achievement in developing and developed societies.";"[Nuamah, Sally A.] Duke Univ, Sanford Sch Publ Policy, Sanford Bldg,201 Sci Dr, Durham, NC 27708 USA";"Nuamah, SA (corresponding author), Duke Univ, Sanford Sch Publ Policy, Sanford Bldg,201 Sci Dr, Durham, NC 27708 USA.";"sally.nuamah@duke.edu";NA;NA;"Women and Public Policy Program at the Harvard Kennedy School of Government";"Support for the author's work was provided by the Women and Public Policy Program at the Harvard Kennedy School of Government (2016-2017).";NA;67;1;1;3;7;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"DEC";2018;55;6;NA;NA;NA;NA;"1307";"1338";NA;"10.3102/0002831218782670";NA;NA;32;"Education & Educational Research";"Education & Educational Research";"HA5MU";"WOS:000450317600005";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"8";"J";"Zirkel, S; Pollack, TM";NA;NA;NA;"Zirkel, Sabrina; Pollack, Terry M.";NA;NA;"Just Let the Worst Students Go: A Critical Case Analysis of Public Discourse About Race, Merit, and Worth";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"race and education; merit; critical race theory; narrative theory";"SOCIETAL CONSEQUENCES; WORKING-CLASS; RESISTANCE; WHITENESS; POLITICS; RACISM; DETRACKING; INEQUALITY; FRAMEWORK; IDENTITY";"We present a case analysis of the controversy and public debate generated from a school district's efforts to address racial inequities in educational outcomes by diverting special funds from the highest performing students seeking elite college admissions to the lowest performing students who were struggling to graduate from high school. Widespread arguments against the proposed change emphasized the identification of highly successful students as worthy and others as unworthy of resources. Through an analysis of print and digital public texts, we identify a narrative cycle that informed public debate: (a) colorblind rhetoric, (b) academic performance is presumed to emerge solely from talent and effort, so (c) academic performance then becomes a measure of worth, and finally, (d) efforts to address racial disparities are unfair. We argue that narratives identifying some students as worthy and others unworthy are highly influential in the outcomes of many educational policy and funding debates.";"[Zirkel, Sabrina] Santa Clara Univ, Sch Educ & Counseling Psychol, 500 El Camino Real,Guadalupe Hall, Santa Clara, CA 95053 USA; [Zirkel, Sabrina] Mills Coll, Oakland, CA 94613 USA; [Pollack, Terry M.] Orinda Union Sch Dist, Orinda, CA USA";"Zirkel, S (corresponding author), Santa Clara Univ, Sch Educ & Counseling Psychol, 500 El Camino Real,Guadalupe Hall, Santa Clara, CA 95053 USA.; Zirkel, S (corresponding author), Mills Coll, Oakland, CA 94613 USA.";"szirkel@scu.edu";NA;NA;NA;NA;NA;69;6;6;1;12;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"DEC";2016;53;6;NA;NA;NA;NA;"1522";"1555";NA;"10.3102/0002831216676568";NA;NA;34;"Education & Educational Research";"Education & Educational Research";"EH5EC";"WOS:000391794400002";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"9";"J";"Ishimaru, AM; Torres, KE; Salvador, JE; Lott, J; Williams, DMC; Tran, C";NA;NA;NA;"Ishimaru, Ann M.; Torres, Kathryn E.; Salvador, Jessica E.; Lott, Joe, II; Williams, Dawn M. Cameron; Tran, Christine";NA;NA;"Reinforcing Deficit, Journeying Toward Equity: Cultural Brokering in Family Engagement Initiatives";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"boundary-crossing; cultural brokering; educational equity; family engagement; school-community relations";"INSTITUTIONAL AGENTS; PARENTAL INVOLVEMENT; SCHOOL; DISTRICT; STUDENTS; CHILDREN; LIAISONS; SUCCESS; HOME";"Families are key actors in efforts to improve student learning and outcomes, but conventional engagement efforts often disregard the cultural and social resources of nondominant families. Individuals who serve as cultural brokers play critical, though complex, roles bridging between schools and families. Using an equitable collaboration lens with boundary-spanning theory, this comparative case study examined how individuals enacted cultural brokering within three organizational contexts. Our findings suggest a predominance of cultural brokering consistent with programmatic goals to socialize nondominant families into school-centric norms and agendas. However, formal leadership and boundary-spanning ambiguity enabled more collective, relational, or reciprocal cultural brokering. These dynamics suggest potential stepping stones and organizational conditions for moving toward more equitable forms of family-school collaboration and systemic transformation.";"[Ishimaru, Ann M.] Univ Washington, Educ Policy Org & Leadership, Coll Educ, Miller Hall Box 353600, Seattle, WA 98195 USA; [Torres, Kathryn E.; Lott, Joe, II; Tran, Christine] Univ Washington, Coll Educ, Seattle, WA 98195 USA; [Salvador, Jessica E.] Univ Washington, Undergrad Res Program, Seattle, WA 98195 USA; [Williams, Dawn M. Cameron] Univ Washington, Educ Policy Org & Leadership Studies, Seattle, WA 98195 USA";"Ishimaru, AM (corresponding author), Univ Washington, Educ Policy Org & Leadership, Coll Educ, Miller Hall Box 353600, Seattle, WA 98195 USA.";"aishi@uw.edu";NA;NA;NA;NA;NA;80;22;22;1;19;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"AUG";2016;53;4;NA;NA;NA;NA;"850";"882";NA;"10.3102/0002831216657178";NA;NA;33;"Education & Educational Research";"Education & Educational Research";"DV8TH";"WOS:000383209100002";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
"10";"J";"Weixler, LB; Lincove, JA; Gerry, A";NA;NA;NA;"Weixler, Lindsay Bell; Lincove, Jane Arnold; Gerry, Alica";NA;NA;"The Provision of Public Pre-K in the Absence of Centralized School Management";"AMERICAN EDUCATIONAL RESEARCH JOURNAL";NA;NA;"English";"Article";NA;NA;NA;NA;NA;"accountability; charter schools; decentralization; prekindergarten";"COST-BENEFIT-ANALYSIS; CHARTER SCHOOLS; STUDENT-ACHIEVEMENT; EDUCATION; PROGRAM; DENVER";"Using administrative and qualitative data, we investigate how decentralization affects the supply of optional educational services using the example of school-based prekindergarten (pre-K) in New Orleans during the transition to a majority-charter system. Although charter school leaders are motivated by student- and school-level benefits of pre-K, they face unique obstacles to funding classrooms. We find that the number of pre-K seats fell substantially as decision making and budgeting were decentralized. Charter schools that did offer pre-K experienced few internal benefits, on average, in terms of future enrollment or test performance, as pre-K graduates are highly mobile. This study provides initial evidence that decentralization without offsetting financial incentives can lead to reduced investments in programs that advance the social goals of education.";"[Weixler, Lindsay Bell; Gerry, Alica] Tulane Univ, New Orleans, LA 70118 USA; [Lincove, Jane Arnold] Univ Maryland, College Pk, MD 20742 USA";"Weixler, LB (corresponding author), Tulane Univ, New Orleans, LA 70118 USA.";"lweixler@tulane.edu; jlincove@umbc.edu; agerry@tulane.edu";NA;"Lincove, Jane/0000-0001-6656-8537";"Laura and John Arnold Foundation";"This research was conducted at the Education Research Alliance for New Orleans at Tulane University with support from the Laura and John Arnold Foundation. Institutional support was provided by Tulane University, University of Maryland, Baltimore County, and University of Minnesota. We thank Deven Carlson and Chloe Gibbs for feedback on prior drafts. All opinions and conclusions in this article are solely those of the authors.";NA;66;0;0;0;2;"SAGE PUBLICATIONS INC";"THOUSAND OAKS";"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA";"0002-8312";"1935-1011";NA;"AM EDUC RES J";"Am. Educ. Res. J.";"DEC";2019;56;6;NA;NA;NA;NA;"2439";"2473";NA;"10.3102/0002831219845623";NA;NA;35;"Education & Educational Research";"Education & Educational Research";"JN1LM";"WOS:000496664500012";NA;NA;NA;NA;"2020-09-24";NA;"AMERICAN EDUCATIONAL RESEARCH JOURNAL"
