session,treat,tsm_1,tsm_2,tsm_3,tsm_4,tsc_1,tsc_2,tsc_3,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,tch_1,tch_2,tch_3,tch_4,tch_5,meas_rep,age,sex,position,position_oth,Treatment,Experitse,Integrity,Benevolence,Topic specific multiplism,Study
ZCgj0ki5azqCd28Gbm21kLcJg1wLPDJwKX6-028o4hAOLUPpw54IVOX_W9TWEpZ2,GB,1,3,1,3,3,2,3,5,5,7,5,6,5,7,6,6,6,6,6,6,7,1,1,1,1,1,1,50,m,-999,Communications management,Greyed out badges,5.5,6.25,6.25,2,Study 2
ZCgj0ki5azqCd28Gbm21kLcJg1wLPDJwKX6-028o4hAOLUPpw54IVOX_W9TWEpZ2,CC,2,4,1,4,3,2,3,6,6,6,6,6,5,6,7,6,6,6,7,5,5,-999,-999,-999,2,-999,2,50,m,-999,Communications management,Control Condition,5.833333333333333,6.25,5.75,2.75,Study 2
m7Uih-tpVbPvrxuGnnBvGNhZhdEEkyZ1mU91rxs4f16hIutwNBEnIxGGrGYnCkSt,CB,1,2,3,3,2,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,1,2,-999,1,16,m,1,NA,Colored badges,7,7,7,2.25,Study 2
m7Uih-tpVbPvrxuGnnBvGNhZhdEEkyZ1mU91rxs4f16hIutwNBEnIxGGrGYnCkSt,CC,3,2,2,3,3,3,2,4,5,4,4,4,4,3,3,3,4,5,3,2,3,2,3,1,2,1,2,16,m,1,NA,Control Condition,4.166666666666667,3.25,3.25,2.5,Study 2
qPysCuI9-iLm0llM13aXeTw4RPMNpeWoUHYbY89kB_rK8PfkOETByBatllNrWAom,CB,1,1,2,2,4,3,3,4,3,7,7,3,6,7,7,4,2,7,7,5,6,4,3,4,2,4,1,16,m,1,NA,Colored badges,5,5,6.25,1.5,Study 2
qPysCuI9-iLm0llM13aXeTw4RPMNpeWoUHYbY89kB_rK8PfkOETByBatllNrWAom,CC,2,1,3,3,4,4,4,4,5,6,7,6,7,6,6,6,6,3,5,6,6,3,2,2,3,2,2,16,m,1,NA,Control Condition,5.833333333333333,6,5,2.25,Study 2
YOaskKu_7sy0YhNAm1IB2Cedhj5-wUzS6QcOPxntO4DJWeSFSm5KXHT1kyeVOUq3,CC,1,2,1,2,3,2,3,5,5,6,5,5,5,4,4,5,4,4,5,5,4,-999,-999,-999,-999,-999,1,16,m,1,NA,Control Condition,5.166666666666667,4.25,4.5,1.5,Study 2
YOaskKu_7sy0YhNAm1IB2Cedhj5-wUzS6QcOPxntO4DJWeSFSm5KXHT1kyeVOUq3,CB,1,1,1,2,4,1,3,6,6,5,6,5,5,5,5,4,5,5,6,6,4,4,4,4,4,4,2,16,m,1,NA,Colored badges,5.5,4.75,5.25,1.25,Study 2
L10Oyy8t4awENgfQM2g7_IP_YP0CUH4BTi0mKFZgOoGvvSsCA-Zzp7ziEjQHWBqL,CC,2,2,3,2,3,3,3,5,5,6,4,6,6,5,5,5,5,5,5,4,4,1,-999,-999,1,-999,1,16,f,-999,Student MA,Control Condition,5.333333333333333,5,4.5,2.25,Study 2
L10Oyy8t4awENgfQM2g7_IP_YP0CUH4BTi0mKFZgOoGvvSsCA-Zzp7ziEjQHWBqL,GB,2,2,2,3,3,2,3,5,4,5,4,5,5,4,4,5,3,4,4,4,5,3,1,1,2,1,2,16,f,-999,Student MA,Greyed out badges,4.666666666666667,4,4.25,2.25,Study 2
kq6OGYEQT0ZebtES84TY5krFMGS3yyJO5m7t69utng6YugmO38M30M9kNBQ-Hu27,GB,2,4,3,3,3,1,4,6,6,6,7,6,6,5,5,5,5,4,5,7,5,1,4,1,3,1,1,16,m,-999,editor,Greyed out badges,6.166666666666667,5,5.25,3,Study 2
