session,treat,tsm_1,tsm_2,tsm_3,tsm_4,tsc_1,tsc_2,tsc_3,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,tch_1,tch_2,tch_3,tch_4,tch_5,meas_rep,sex,age,education,Treatment,Experitse,Integrity,Benevolence,Topic specific multiplism,Study
nCbPjTpA4XHdTbsIphTCy-RhyW9YtKUz6ExD32vBjsBh2UM4IbUxnFe8raXrpDET,CC,3,3,3,2,2,2,2,3,4,3,6,5,5,5,5,6,3,4,5,4,5,3,3,4,2,3,1,f,35,app_13,Control Condition,4.333333333333333,4.75,4.5,2.75,Study 3
nCbPjTpA4XHdTbsIphTCy-RhyW9YtKUz6ExD32vBjsBh2UM4IbUxnFe8raXrpDET,GB,3,3,2,3,2,2,2,5,4,4,5,4,5,5,4,6,3,4,3,3,4,3,2,3,3,3,2,f,35,app_13,Greyed out badges,4.5,4.5,3.5,2.75,Study 3
mgkVKuOHRuM0YNgtpIPzVo_cDoRFmeSBdKbqBB08Qp8Mcl5tsSgm0yEpccifwGGc,GB,2,2,2,1,3,1,3,6,6,6,5,4,5,3,6,5,6,5,5,5,3,2,1,1,2,1,1,m,35,L34_7,Greyed out badges,5.333333333333333,5,4.5,1.75,Study 3
mgkVKuOHRuM0YNgtpIPzVo_cDoRFmeSBdKbqBB08Qp8Mcl5tsSgm0yEpccifwGGc,CC,1,2,2,3,4,2,4,6,6,6,6,6,6,6,7,6,7,7,7,7,5,3,-999,-999,3,-999,2,m,35,L34_7,Control Condition,6,6.5,6.5,2,Study 3
1Cc68iVpc54gyTwf03G9fJQ2bJbM_rNFmEr_BgIH7XLXkGsLPMrwKyMCEObHjnQv,CC,3,3,2,2,3,3,2,5,7,6,6,5,5,4,6,4,4,3,2,5,5,3,4,-999,2,4,1,m,35,L34_7,Control Condition,5.666666666666667,4.5,3.75,2.5,Study 3
1Cc68iVpc54gyTwf03G9fJQ2bJbM_rNFmEr_BgIH7XLXkGsLPMrwKyMCEObHjnQv,CB,2,4,2,4,2,3,2,6,5,6,6,6,7,4,4,4,4,6,4,5,5,4,4,4,3,4,2,m,35,L34_7,Colored badges,6,4,5,3,Study 3
01RcfkcLwzr_2gdZvdeV0FR4XTlP6YtUEiPSQL04b8aG-X3upURvReFcTextNc-S,GB,4,4,3,4,1,3,2,5,5,5,5,5,5,4,4,4,5,2,5,2,4,1,1,1,1,1,1,m,50,app_11,Greyed out badges,5,4.25,3.25,3.75,Study 3
01RcfkcLwzr_2gdZvdeV0FR4XTlP6YtUEiPSQL04b8aG-X3upURvReFcTextNc-S,CC,4,4,4,4,1,1,1,2,2,3,2,2,2,4,4,2,3,4,4,1,3,1,1,1,2,1,2,m,50,app_11,Control Condition,2.1666666666666665,3.25,3,4,Study 3
55XpxNBwrvmkIuaMpBJIkPpikVEmNl3kQXdNfDZevemfmy4rSmzS9Eq3idbc-SJa,CB,1,2,2,4,2,3,2,6,7,7,7,7,7,7,7,6,1,6,6,6,6,4,4,1,3,4,1,m,50,L34_9,Colored badges,6.833333333333333,5.25,6,2.25,Study 3
55XpxNBwrvmkIuaMpBJIkPpikVEmNl3kQXdNfDZevemfmy4rSmzS9Eq3idbc-SJa,GB,4,4,4,4,2,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,1,1,1,2,m,50,L34_9,Greyed out badges,7,7,7,4,Study 3
hGng6VFFNf83UupWzgA2VcZPntwKz91bz-pSilegU5FFtRpAwePAqv30eYLpGyUo,CB,2,3,3,2,2,2,2,4,2,4,2,4,4,4,2,4,2,2,6,4,4,2,3,2,2,3,1,m,50,L12_1,Colored badges,3.3333333333333335,3,4,2.5,Study 3
hGng6VFFNf83UupWzgA2VcZPntwKz91bz-pSilegU5FFtRpAwePAqv30eYLpGyUo,GB,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,6,4,4,2,4,3,2,2,3,3,2,m,50,L12_1,Greyed out badges,2,3,3.5,2.25,Study 3
YuligZuEei8gw_3qKybUn-t-WZall4rECtEuCtZWXrwR83gWb-EUE8C9-1QrumYG,CC,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-999,-999,-999,-999,-999,1,f,50,app_13,Control Condition,4,4,4,1,Study 3
YuligZuEei8gw_3qKybUn-t-WZall4rECtEuCtZWXrwR83gWb-EUE8C9-1QrumYG,CB,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-999,-999,-999,-999,-999,2,f,50,app_13,Colored badges,4,4,4,1,Study 3
WJOVNzIkyT_kZ7H05pUzQRYQaTmMzzhGpkT7Km6C1R8ZvzU7dBDftlB_avTTCrqj,GB,4,4,3,4,2,2,2,6,2,2,2,2,2,2,5,2,2,5,5,2,2,1,1,1,1,1,1,m,50,L34_8,Greyed out badges,2.6666666666666665,2.75,3.5,3.75,Study 3
WJOVNzIkyT_kZ7H05pUzQRYQaTmMzzhGpkT7Km6C1R8ZvzU7dBDftlB_avTTCrqj,CC,4,4,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-999,-999,-999,-999,-999,2,m,50,L34_8,Control Condition,2,2,2,4,Study 3
kuRIsouQyG1alleFeiIM94GhXFUuPZqBT5SJwu0zavbVNNmNqyqAEBSEwUv62FoC,CC,3,3,3,3,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,3,-999,3,3,1,f,16,L34_8,Control Condition,5,5,4.5,3,Study 3
