session,treat,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,meas_rep,tsm_1,tsm_2,tsm_3,tsm_4,age,semester,sex,tch_1,tch_2,tch_3,tch_4,tch_5
P3g53COrmCua8w_YaV0R49RuilkrohMCmJTk5w9fOpXxPfDXnsvGmgYc25zva4jb,GB,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,2,2,2,2,26,9,2,1,1,1,1,1
P3g53COrmCua8w_YaV0R49RuilkrohMCmJTk5w9fOpXxPfDXnsvGmgYc25zva4jb,CC,5,5,5,5,5,5,4,5,4,4,4,4,4,4,2,1,1,1,2,26,9,2,-999,-999,-999,1,-999
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh,GB,7,5,7,5,5,6,7,7,7,6,6,6,6,5,1,1,1,2,1,19,1,2,1,1,-999,2,1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh,CC,7,7,7,7,7,7,7,7,6,7,7,7,7,5,2,1,1,2,2,19,1,2,3,-999,3,3,1
ujSjQ06KsYj0Beq8-EejiqTLCwImAUTX4txnBeokScdvSOBb69saSweit24o_QQr,GB,7,7,7,7,7,6,6,6,6,6,6,6,6,6,1,2,4,1,4,21,1,1,1,1,1,1,1
ujSjQ06KsYj0Beq8-EejiqTLCwImAUTX4txnBeokScdvSOBb69saSweit24o_QQr,CC,7,7,7,7,7,7,6,6,6,6,6,6,6,6,2,1,4,1,2,21,1,1,2,1,3,2,2
jn2OwzVRl4oRQu3P9t4Kvlpeyk_dMzKwTVa6GJpjE-bjjMtV_9Y2pcPhwKyZniBq,GB,3,4,3,3,3,4,4,4,4,4,5,5,4,4,1,2,1,2,2,23,7,2,1,1,1,1,1
jn2OwzVRl4oRQu3P9t4Kvlpeyk_dMzKwTVa6GJpjE-bjjMtV_9Y2pcPhwKyZniBq,CC,6,6,6,6,6,6,5,5,5,5,5,5,5,4,2,2,3,2,3,23,7,2,3,-999,-999,3,-999
AFIdsArPPJQqF7R_df9h4INH81aiHoeLR1z6oi6vbe_Bb5q0zfGbJ78BEQBgb7kq,GB,6,5,6,7,3,5,7,7,5,7,5,7,3,5,1,2,3,2,3,26,3,1,-999,-999,-999,-999,-999
AFIdsArPPJQqF7R_df9h4INH81aiHoeLR1z6oi6vbe_Bb5q0zfGbJ78BEQBgb7kq,CC,5,7,5,5,4,5,6,7,7,7,7,7,5,4,2,1,2,2,3,26,3,1,1,1,1,1,1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X,GB,4,4,4,3,3,4,4,3,4,4,4,4,4,4,1,3,3,3,3,24,11,2,-999,-999,-999,-999,-999
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X,CC,3,2,2,3,3,2,3,3,3,2,2,3,3,3,2,4,4,4,4,24,11,2,-999,-999,-999,-999,-999
