session,created,modified,ended,expired,treat,treat1,treat2,first_topic,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,country,country_oth
nCbPjTpA4XHdTbsIphTCy-RhyW9YtKUz6ExD32vBjsBh2UM4IbUxnFe8raXrpDET,2020-12-17 14:21:06,2020-12-17 14:22:18,2020-12-17 14:22:18,NA,cc,cc,gb,moral,3,3,3,2,2,2,2,5,4,5,2,3,3,3,3,2,5,4,3,4,3,3,3,4,2,3,3,3,2,3,2,2,2,3,4,4,3,4,3,3,4,2,5,4,5,5,4,3,2,3,3,3,2,3,3,2,NA
mgkVKuOHRuM0YNgtpIPzVo_cDoRFmeSBdKbqBB08Qp8Mcl5tsSgm0yEpccifwGGc,2020-12-18 08:54:48,2020-12-18 09:06:18,2020-12-18 09:06:18,NA,gb,gb,cc,robot,2,2,2,1,3,1,3,2,2,2,3,4,3,5,2,3,2,3,3,3,5,2,1,1,2,1,1,2,2,3,4,2,4,2,2,2,2,2,2,2,1,2,1,1,1,1,3,3,-999,-999,3,-999,4,4,3,1,NA
1Cc68iVpc54gyTwf03G9fJQ2bJbM_rNFmEr_BgIH7XLXkGsLPMrwKyMCEObHjnQv,2020-12-18 08:57:11,2020-12-18 09:09:45,2020-12-18 09:09:45,NA,cc,cc,cb,moral,3,3,2,2,3,3,2,3,1,2,2,3,3,4,2,4,4,5,6,3,3,3,4,-999,2,4,2,4,2,4,2,3,2,2,3,2,2,2,1,4,4,4,4,2,4,3,3,4,4,4,3,4,4,4,3,1,NA
01RcfkcLwzr_2gdZvdeV0FR4XTlP6YtUEiPSQL04b8aG-X3upURvReFcTextNc-S,2020-12-18 09:00:14,2020-12-18 09:08:48,2020-12-18 09:08:48,NA,gb,gb,cc,robot,4,4,3,4,1,3,2,3,3,3,3,3,3,4,4,4,3,6,3,6,4,1,1,1,1,1,4,4,4,4,1,1,1,6,6,5,6,6,6,4,4,6,5,4,4,7,5,1,1,1,2,1,3,4,4,1,NA
55XpxNBwrvmkIuaMpBJIkPpikVEmNl3kQXdNfDZevemfmy4rSmzS9Eq3idbc-SJa,2020-12-18 09:00:58,2020-12-18 09:09:49,2020-12-18 09:09:49,NA,cb,cb,gb,robot,1,2,2,4,2,3,2,2,1,1,1,1,1,1,1,2,7,2,2,2,2,4,4,1,3,4,4,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,1,1,NA
hGng6VFFNf83UupWzgA2VcZPntwKz91bz-pSilegU5FFtRpAwePAqv30eYLpGyUo,2020-12-18 09:01:50,2020-12-18 09:06:42,2020-12-18 09:06:42,NA,cb,cb,gb,moral,2,3,3,2,2,2,2,4,6,4,6,4,4,4,6,4,6,6,2,4,4,2,3,2,2,3,3,2,2,2,3,2,3,6,6,6,6,6,6,6,6,6,2,4,4,6,4,3,2,2,3,3,4,2,2,3,NA
YuligZuEei8gw_3qKybUn-t-WZall4rECtEuCtZWXrwR83gWb-EUE8C9-1QrumYG,2020-12-18 09:02:03,2020-12-18 09:05:33,2020-12-18 09:05:33,NA,cc,cc,cb,moral,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-999,-999,-999,-999,-999,2,2,2,1,NA
WJOVNzIkyT_kZ7H05pUzQRYQaTmMzzhGpkT7Km6C1R8ZvzU7dBDftlB_avTTCrqj,2020-12-18 09:03:54,2020-12-18 09:30:41,2020-12-18 09:30:42,NA,gb,gb,cc,robot,4,4,3,4,2,2,2,2,6,6,6,6,6,6,3,6,6,3,3,6,6,1,1,1,1,1,4,4,4,4,3,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-999,-999,-999,-999,-999,4,4,4,1,NA
kuRIsouQyG1alleFeiIM94GhXFUuPZqBT5SJwu0zavbVNNmNqyqAEBSEwUv62FoC,2020-12-18 09:04:20,2020-12-18 09:18:20,2020-12-18 09:18:20,NA,cc,cc,gb,robot,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,-999,3,3,3,4,3,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,4,4,3,1,NA
__PInpDB0LD_MiNj22CyH_IOyIRKdJzsYrBno_H0VByYDdzLu7K-JADECWmVJW0y,2020-12-18 09:06:05,2020-12-18 09:14:39,2020-12-18 09:14:39,NA,gb,gb,cb,robot,3,3,2,3,3,2,3,4,3,3,4,4,4,3,3,3,3,3,4,3,3,-999,3,-999,3,3,2,3,2,3,3,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,-999,-999,-999,-999,-999,3,4,2,1,NA
