sex,age,education,session
f,35,app_13,nCbPjTpA4XHdTbsIphTCy-RhyW9YtKUz6ExD32vBjsBh2UM4IbUxnFe8raXrpDET
m,35,L34_7,mgkVKuOHRuM0YNgtpIPzVo_cDoRFmeSBdKbqBB08Qp8Mcl5tsSgm0yEpccifwGGc
m,35,L34_7,1Cc68iVpc54gyTwf03G9fJQ2bJbM_rNFmEr_BgIH7XLXkGsLPMrwKyMCEObHjnQv
m,50,app_11,01RcfkcLwzr_2gdZvdeV0FR4XTlP6YtUEiPSQL04b8aG-X3upURvReFcTextNc-S
m,50,L34_9,55XpxNBwrvmkIuaMpBJIkPpikVEmNl3kQXdNfDZevemfmy4rSmzS9Eq3idbc-SJa
f,50,app_13,YuligZuEei8gw_3qKybUn-t-WZall4rECtEuCtZWXrwR83gWb-EUE8C9-1QrumYG
m,50,L12_1,hGng6VFFNf83UupWzgA2VcZPntwKz91bz-pSilegU5FFtRpAwePAqv30eYLpGyUo
m,50,L34_8,WJOVNzIkyT_kZ7H05pUzQRYQaTmMzzhGpkT7Km6C1R8ZvzU7dBDftlB_avTTCrqj
f,16,L34_8,kuRIsouQyG1alleFeiIM94GhXFUuPZqBT5SJwu0zavbVNNmNqyqAEBSEwUv62FoC
f,35,L34_6,__PInpDB0LD_MiNj22CyH_IOyIRKdJzsYrBno_H0VByYDdzLu7K-JADECWmVJW0y
m,50,L34_8,JfRkEGfW1Q696TzoiRRTd83BDgGBjyG3Qs3iOryI8oOyy2fsNBoTlvBYVnVxRCAu
m,50,L34_8,jmXqGDrzzrDuxR2WWaEOXhQCDrMrl8Bss3QmfzJt-KF1iSuEjCavV_qNPvoNG6zT
f,50,app_13,NRQ0_wBBey7vaCUtl6jezbE_WHE43itbk1X6Dx5z-dgd2RZ3pnk8iJt5BQS9Cqos
f,16,L34_7,blAMCc3iG-VK9Se0EVwFET-bQltKw41TosKPKcIPFrgpIwi0nc1Y975FR7zuWCrP
m,50,L12_1,bpeDCJ0qmwNMTZIJY1hfz4OxJ3J7EVj0JOBQvusuM_TL0X7Sd8usZYRUtqW3-o-o
f,35,L34_8,1XmVFSbwHE2n4_vORK8YqkTySq0wUdFSRgyBImjS_00UoYq0m1PdNaPlEreQc94z
m,50,L34_8,TqlBSf9jLsCavvTnsN1_XhGx3z_eLNCBJm1P_R2pHiVPvePpqTrSvYzfkXYOu2fm
m,50,L34_6,kH0DnySk4M_GBv3zaHi2WVuw1CsgBZXBVLvxdfp-OdxIYLLzW_zjmADXrGxqa3ro
f,16,L34_8,H3d7WB_dmNVFGcvJbEDJ9md2-MFaFsNsi5Wh1KP9y5v0AoKlP0dUQ1_OYz7CScNU
m,50,L12_3,fYG3EL6ixDvPKy75k9Jzm9YiFGhyD9KPkXLhcybBdynNnY-ZX0sMZkf8K-Yo0PCJ
f,50,L34_10,iwHZZ2me3qU3hXEdJsUDeUwQA0GQCBu9ofTK03RKqvyXSPYlEkfi95UHmrA_Y_0z
m,35,L34_8,Fprw2q3bL5VR3yamA0f42uZbjFf6tTyf9VkVP2coBvXh94G6jb3PzrIxnsZHRemr
m,50,L34_8,VVSMVY3V5qVfSAdr_QeGDQXYBUddPkY2ebznxNvcSdQeouJyEvrJDRsPo5MTIOWR
m,50,L12_3,u5zfpBrg15BKWNhMJF-rfZzLLrU1HmDPWL9YpRMSO7y6ChwUvwkWZfeuFFxsjbCQ
m,50,L34_8,2UuezPSEhxjqZcDixmuAE0GD1pUkdWSjiai_EnPIfnjbHhcqHItHXq_BLUYoBD-b
f,50,L34_7,DjcM7CwqH9s7o7aoKQAn7LKtFaclMB_ey3Pc2609ph-VYi3BNO0DhhS_6gyPKoWo
m,50,L34_7,b-x6XdomJ7yZY25aGqsq3ViXS4W4DMcVBlO9VddUC_pQP8ymMW4DW_hXx285iNaP
m,50,L34_8,8vf9vbz5BMLUEGo656TSO7VKU8l5UOSeC8kE2koeoupWHkQ9RsvRGYgskUCnhsur
