session,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,sex,age,position,position_oth,country,country_oth,abs1_tsm,abs1_tsc,abs1_tru_exp,abs1_tru_int,abs1_tru_ben,abs1_tch,abs2_tsm,abs2_tsc,abs2_tru_exp,abs2_tru_int,abs2_tru_ben,abs2_tch,tsm,treat1,treat2,first_topic
_0LBERMq4qxl6gAaAZT_WhaagL3Ij8spzZ1xJzIKMll3vNYyOhuYG1oPEFqjcuVD,2,3,2,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,2,2,2,1,1,1,1,1,2,3,2,3,3,2,3,1,2,1,1,2,1,1,1,2,2,2,1,2,2,4,4,4,4,4,3,4,4,m,16,1,NA,1,NA,2.5,2.6666666666666665,2.5,2.25,2,1,2.5,2.6666666666666665,1.3333333333333333,1.5,1.75,4,3.6666666666666665,gb,cb,savings
_CRKcSjga0k__-jB9azZGSkGATJGErROepH1oeEKvLDWa-H-PxlobnNMIBGZ03cJ,2,2,3,4,2,2,2,4,3,3,4,4,3,4,4,4,4,4,3,5,4,3,-999,-999,2,-999,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-999,-999,-999,-999,-999,2,1,2,f,35,-999,Support Worker ,1,NA,2.75,2,3.5,4,4,-598.4,1.75,2,4,4,4,-999,1.6666666666666667,cb,cc,mobility
_jSN5oz7bbY7ttwdDLvi6c-s2OVEXqWdMjVO9-AcwvAZFxlThjiFEdj2mo9R0SlV,3,4,3,3,2,3,2,1,1,1,1,1,1,1,1,2,1,3,1,1,4,4,4,4,4,4,4,2,3,4,3,2,3,1,1,1,1,1,1,1,2,2,2,1,2,2,3,3,1,1,1,1,4,4,4,m,16,1,NA,3,NA,3.25,2.3333333333333335,1,1.25,2.25,4,3.25,2.6666666666666665,1,1.75,2,1.4,4,cb,gb,mobility
_R3nSTnroXo6W5CHmRdFdY-eb1U5D04pZ29A5C-h4N33PlJyotxajwot0Sks9k3Q,2,2,2,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,3,3,3,3,2,3,2,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,f,16,1,NA,4,NA,2,2.6666666666666665,3,3,3,1.8,3,2.3333333333333335,4.5,4,4,4,2.6666666666666665,gb,cb,savings
_V4fmrCxYg53zDsVYk0ovXaQZ0UTF8yNYle6hZXdPoBYU_bqq3ytVhSa9dG5EUbA,2,3,3,4,3,1,4,1,1,1,1,1,1,3,2,4,4,4,1,4,2,4,4,4,-999,3,2,2,1,2,3,1,3,1,1,1,1,1,1,4,1,4,1,4,1,1,1,4,4,4,3,4,4,4,4,f,16,1,NA,1,NA,3,2.6666666666666665,1,3.25,2.75,-196.8,1.75,2.3333333333333335,1,2.5,1.75,3.8,4,cc,cb,savings
-GjQ3L3ErW7Dawh4TtOlVv612hvXitNFgdHDBZ6WiOgK_LNnTcQYwSiaaQoluw1b,2,3,2,2,4,1,3,2,3,2,2,3,2,2,3,3,3,3,3,3,2,2,-999,-999,2,2,3,2,3,2,2,1,2,3,4,3,3,4,3,4,4,3,4,3,4,3,4,-999,-999,-999,-999,-999,3,3,1,f,16,1,NA,3,NA,2.25,2.6666666666666665,2.3333333333333335,2.75,2.75,-398.4,2.5,1.6666666666666667,3.3333333333333335,3.75,3.5,-999,2.3333333333333335,cc,gb,savings
-HfIWPO6t0-IB1jm6FBZ0DHWkJvckTbhrrz7F5hofsLbbS5oNrF2jD872rDwswT0,1,2,2,3,3,2,3,2,3,2,3,3,3,2,3,4,4,4,4,2,3,4,4,4,3,4,3,3,3,3,3,2,2,5,4,3,5,4,5,4,4,4,4,4,4,5,4,2,1,1,1,1,2,2,3,f,16,1,NA,-999,Netherlands,2,2.6666666666666665,2.6666666666666665,3.25,3.25,3.8,3,2.3333333333333335,4.333333333333333,4,4.25,1.2,2.3333333333333335,cb,gb,mobility
-q1HJ4cjGLRtbosOZ5pSYg4jppgiXrhix_V1iHWxvxcIWEy3r9oWTeQ4ZQ_HUzf3,2,1,1,2,3,1,3,3,3,3,3,4,3,3,3,3,4,4,2,3,2,2,4,4,4,4,2,2,1,2,2,2,3,3,4,4,4,4,3,3,3,2,3,4,4,4,3,1,1,1,1,1,3,3,4,m,16,1,NA,-999,Italy,1.5,2.3333333333333335,3.1666666666666665,3.25,2.75,3.6,1.75,2.3333333333333335,3.6666666666666665,2.75,3.75,1,3.3333333333333335,cb,gb,mobility
-QW82vGSCMuQzDdUUpZSqR_cmBInEXLqWnVw1D8eoE3ielvWxU38sFQFSOCDN66H,2,1,3,2,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,2,3,2,4,2,3,2,2,2,3,3,2,3,2,3,3,2,3,3,2,1,1,1,1,1,4,4,4,f,16,2,NA,1,NA,2,3,1,1,1,4,2.5,3,2.3333333333333335,2.75,2.5,1,4,cb,gb,savings
0PVtCyuGh8kwNPMg922j8Zwabe6_jnj0GponBvWOKii1vPcsi6rOT-Iq8Kzr0rT4,1,4,3,2,4,1,4,3,2,2,2,3,2,3,2,3,2,3,1,2,2,-999,3,4,4,4,1,4,2,4,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,2,-999,3,3,3,4,4,4,2,m,16,-999,health carer,1,NA,2.5,3,2.3333333333333335,2.5,2,-196.8,2.75,2.6666666666666665,2.3333333333333335,3,2.25,-197.2,3.3333333333333335,cb,cc,mobility
