session,created,modified,ended,expired,treat,treat1,treat2,first_topic,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,country,country_oth,abs1_tsm,abs1_tsc,abs1_tru_exp,abs1_tru_int,abs1_tru_ben,abs1_tch,abs2_tsm,abs2_tsc,abs2_tru_exp,abs2_tru_int,abs2_tru_ben,abs2_tch,tsm,sex,age,education
__PInpDB0LD_MiNj22CyH_IOyIRKdJzsYrBno_H0VByYDdzLu7K-JADECWmVJW0y,2020-12-18T08:06:05Z,2020-12-18T08:14:39Z,2020-12-18T08:14:39Z,NA,gb,gb,cb,robot,3,3,2,3,3,2,3,4,3,3,4,4,4,3,3,3,3,3,4,3,3,-999,3,-999,3,3,2,3,2,3,3,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,-999,-999,-999,-999,-999,3,4,2,1,NA,2.75,2.6666666666666665,3.6666666666666665,3,3.25,-397.8,2.5,2.6666666666666665,4,3.5,3.75,-999,3,f,35,L34
_fyDn-juXKjwWXBI9VVRJAfEagCXUITFtUXWtfbU0OcxGXySuTC12LaXanXJlRKt,2020-12-29T19:41:17Z,2020-12-29T19:48:02Z,2020-12-29T19:48:02Z,NA,gb,gb,cb,robot,3,3,4,3,3,4,2,3,4,5,5,4,5,4,5,6,4,4,3,5,4,4,3,4,4,3,3,4,2,3,4,4,4,3,4,2,1,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,1,NA,3.25,3,4.333333333333333,4.75,4,3.6,3,4,2.6666666666666665,3.5,3.75,4,3.6666666666666665,f,35,L12
_vN_cmq8-WGU0XitEzHhvWsVzXhBFI-166d8UBzOm2dr7rhXEpfe-p0gnnetS0i6,2020-12-23T21:39:16Z,2020-12-23T21:48:22Z,2020-12-23T21:48:22Z,NA,cc,cc,cb,robot,2,4,2,4,3,2,3,1,1,4,1,1,1,1,2,4,1,1,1,2,2,4,4,-999,4,4,3,4,4,4,2,2,4,2,1,2,2,4,1,2,2,4,3,4,3,2,4,4,4,4,4,4,4,4,3,1,NA,3,2.6666666666666665,1.5,2,1.5,-196.6,3.75,2.6666666666666665,2,2.75,3.25,4,3.6666666666666665,f,50,L34
-gZbzQTYzOMqGMXs1URihFGFH5Np2xW3X7UtEvp1V5-ipvTQ-IHYNbD8zkmpScWZ,2020-12-18T17:43:39Z,2020-12-18T17:56:14Z,2020-12-18T17:56:15Z,NA,cb,cb,cc,robot,3,4,2,4,2,1,3,3,3,2,4,4,3,1,6,4,3,2,4,4,1,4,4,4,3,3,2,4,3,3,4,1,4,2,3,1,1,2,1,1,2,2,2,3,1,2,2,-999,3,-999,3,4,3,4,4,1,NA,3.25,2,3.1666666666666665,3.5,2.75,3.6,3,3,1.6666666666666667,1.75,2,-397.6,3.6666666666666665,f,50,L12
-HInCKwJDsLRCtTjMsr0rqH_amdsZ5kARlpZ2if0WGNaisUj4TXj-erMqwK3hWRM,2020-12-31T11:44:33Z,2020-12-31T11:54:04Z,2020-12-31T11:54:04Z,NA,cc,cc,gb,moral,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,2,3,3,2,2,3,6,6,6,6,6,6,6,6,5,5,6,5,6,6,2,2,2,2,2,4,4,1,1,NA,3,3,6,6,6,3,2.75,2.3333333333333335,6,5.5,5.75,2,3,f,50,app
-huOfYx3E11IqN5_a8Hr4pXoGwJfPD3UDA2H2CXqv4R16S7SLqZuzmkUZFHp5cfJ,2020-12-29T16:28:18Z,2020-12-29T16:34:32Z,2020-12-29T16:34:33Z,NA,gb,gb,cb,robot,4,3,2,4,4,3,2,3,4,3,1,4,3,6,4,5,1,3,2,2,3,4,4,4,-999,3,3,3,2,2,3,3,1,4,6,1,1,2,1,4,4,5,5,3,6,4,3,4,4,-999,4,4,4,4,3,1,NA,3.25,3,3,4,2.5,-196.8,2.5,2.3333333333333335,2.5,4.5,4,-196.6,3.6666666666666665,m,35,app
-IshUNvWqs82pp0KRTKx42zIH1XYJeHyPjGOLBLMnqLdBVvEl5HcAdTl9UWNCS2d,2020-12-31T15:23:19Z,2020-12-31T15:38:42Z,2020-12-31T15:38:42Z,NA,gb,gb,cb,moral,3,4,3,2,2,3,2,5,5,3,5,6,5,4,5,4,4,4,4,4,4,2,3,3,2,4,2,3,3,1,4,1,3,2,2,1,2,2,2,1,1,2,3,1,1,1,1,4,4,4,4,4,4,4,2,1,NA,3,2.3333333333333335,4.833333333333333,4.25,4,2.8,2.25,2.6666666666666665,1.8333333333333333,1.75,1,4,3.3333333333333335,f,50,app
-oH790gtwbvmlcRN6SFF68MoJYlyFSph3ZCAWjb0XLOhnAd-ujXN5pvHrwNLIsao,2020-12-29T14:29:17Z,2020-12-29T14:38:09Z,2020-12-29T14:38:09Z,NA,gb,gb,cc,moral,3,2,2,3,4,3,2,4,4,4,5,7,6,4,4,4,4,5,5,5,5,2,2,-999,1,-999,3,3,3,2,3,2,1,4,5,7,6,5,6,5,5,4,4,7,6,6,5,2,2,2,2,2,3,4,2,1,NA,2.5,3,5,4,5,-398.6,2.75,2,5.5,4.5,6,2,3,m,16,app
01RcfkcLwzr_2gdZvdeV0FR4XTlP6YtUEiPSQL04b8aG-X3upURvReFcTextNc-S,2020-12-18T08:00:14Z,2020-12-18T08:08:48Z,2020-12-18T08:08:48Z,NA,gb,gb,cc,robot,4,4,3,4,1,3,2,3,3,3,3,3,3,4,4,4,3,6,3,6,4,1,1,1,1,1,4,4,4,4,1,1,1,6,6,5,6,6,6,4,4,6,5,4,4,7,5,1,1,1,2,1,3,4,4,1,NA,3.75,2,3,3.75,4.75,1,4,1,5.833333333333333,4.75,5,1.2,3.6666666666666665,m,50,app
0GPEIyBNX2Ob4Teb0-l-khuLKoxtxBJxCwr5ZOZocjsRiXJDTWiGL7pMtf1Liegi,2021-01-08T11:18:54Z,2021-01-08T11:25:57Z,2021-01-08T11:25:58Z,NA,gb,gb,cb,moral,1,4,4,1,2,3,3,3,1,1,1,1,1,7,1,1,6,4,1,7,7,4,4,4,4,4,3,3,1,1,1,1,1,1,1,2,2,1,1,7,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,NA,2.5,2.6666666666666665,1.3333333333333333,3.75,4.75,4,2,1,1.3333333333333333,3,1,1,4,f,16,L12
0lut_BLzrutGmcUeem2wPfrHLAihqNxKlcHnlcaPW_i_X4FvCZXbnq8fPDAVQSpy,2020-12-20T17:04:37Z,2020-12-20T17:07:54Z,2020-12-20T17:07:54Z,NA,cc,cc,cb,moral,2,2,3,3,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-999,3,-999,3,3,3,2,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,NA,2.5,2,4,4,4,-397.6,2.75,2,4,4,4,4,3.3333333333333335,f,16,L34
0NgR0NZnC32wtzDIxpGC1-T16UdxRP8PG2eVmujkefwd5VDym6UQOfJFQ0DofHSW,2020-12-28T18:48:26Z,2020-12-28T19:19:03Z,2020-12-28T19:19:03Z,NA,gb,gb,cc,moral,3,3,3,2,3,2,3,1,1,1,2,2,3,1,1,1,1,1,1,3,1,2,1,1,2,1,2,3,3,3,2,3,2,1,1,1,1,3,2,1,1,2,2,2,4,4,1,2,1,2,3,2,4,4,1,1,NA,2.75,2.6666666666666665,1.6666666666666667,1,1.5,1.4,2.75,2.3333333333333335,1.5,1.5,2.75,2,3,f,35,L12
