session;created;modified;ended;expired;treat;variable;value;treat_nr
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsm_1;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsm_2;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsm_3;   2;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsm_4;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsc_1;   4;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsc_2;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tsc_3;   4;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_1;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_2;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_3;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_4;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_5;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_exp_6;   2;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_int_1;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_int_2;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_int_3;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_int_4;   2;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_ben_1;   2;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonosp;tru_ben_2;   2;1
